Agency Name,County,IncidentDate,LEOKA Assignment Type (NIBRS),LEOKA Circumstance,NIBRS Crime Description,NIBRS Report Title,Victim Age (group),Victim Gender,Victim Race,Distinct Offense Victims
Medford PD,Jackson,9/4/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,White,1
Milton Freewater PD,Umatilla,3/13/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Molalla PD,Clackamas,4/3/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,2
Multnomah SO,Multnomah,9/4/2020,Other - Assisted,Mentally Deranged,Aggravated Assault,Aggravated Assault,35-39,Male,Unknown,1
Multnomah SO,Multnomah,4/13/2020,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Female,White,1
Multnomah SO,Multnomah,4/26/2021,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Multnomah SO,Multnomah,7/10/2021,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Multnomah SO,Multnomah,1/15/2021,Other - Assisted,All Other,Simple Assault,Simple Assault,35-39,Female,Black or African American,1
Multnomah SO,Multnomah,7/14/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,Hispanic or Latino,1
Multnomah SO,Multnomah,7/29/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Multnomah SO,Multnomah,10/14/2021,Two Man Vehicle,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,35-39,Male,White,1
Multnomah SO,Multnomah,3/30/2022,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Female,White,1
North Bend PD,Coos,11/16/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,35-39,Male,White,1
Ontario PD,Malheur,10/23/2020,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Ontario PD,Malheur,10/9/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Oregon City PD,Clackamas,4/5/2020,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,35-39,Male,White,1
Oregon City PD,Clackamas,8/27/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Oregon City PD,Clackamas,10/16/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Oregon State Police,JACKSON,7/21/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,Unknown,1
Oregon State Police,MARION,5/12/2021,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,35-39,Male,Unknown,2
Oregon State Police,MARION,12/5/2020,Other - Assisted,Attempting Other Arrests,Intimidation,Intimidation,35-39,Male,Unknown,1
Oregon State Police,LINCOLN,1/13/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,Unknown,1
Pendleton PD,Umatilla,11/15/2020,One Man Vehicle - Alone,All Other,Simple Assault,Simple Assault,35-39,Male,White,1
Phoenix PD,Jackson,1/8/2022,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Polk SO,Polk,6/30/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Port of Portland PD,Multnomah,3/12/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,Black or African American,1
Port of Portland PD,Multnomah,10/24/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Port of Portland PD,Multnomah,3/16/2022,Other - Alone,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,12/11/2020,Other - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,35-39,Male,Asian,1
Portland Police Bureau MIP,Multnomah,6/15/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,Black or African American,1
Portland Police Bureau MIP,Multnomah,1/23/2021,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,35-39,Male,Black or African American,1
Portland Police Bureau MIP,Multnomah,12/13/2021,Detective or Special Assignment - Alone,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,Black or African American,1
Portland Police Bureau MIP,Multnomah,9/9/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,Hispanic or Latino,1
Portland Police Bureau MIP,Multnomah,11/15/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,Hispanic or Latino,1
Portland Police Bureau MIP,Multnomah,2/22/2022,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,Hispanic or Latino,1
Portland Police Bureau MIP,Multnomah,2/29/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,Unknown,1
Portland Police Bureau MIP,Multnomah,3/15/2020,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,Unknown,1
Portland Police Bureau MIP,Multnomah,8/15/2020,Detective or Special Assignment - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,Unknown,1
Portland Police Bureau MIP,Multnomah,2/15/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,4/19/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,5/18/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Female,White,1
Portland Police Bureau MIP,Multnomah,8/8/2020,Other - Alone,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,8/8/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,8/15/2020,Detective or Special Assignment - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,9/5/2020,Detective or Special Assignment - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,9/5/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,10/18/2020,Two Man Vehicle,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,1/14/2021,Other - Alone,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,1/23/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Female,White,1
Portland Police Bureau MIP,Multnomah,2/2/2021,Two Man Vehicle,Burglaries in Progress/Pursuing Burglary Suspects,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,4/16/2021,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,5/1/2021,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Female,White,1
Portland Police Bureau MIP,Multnomah,5/1/2021,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Aggravated Assault,Aggravated Assault,35-39,Male,White,2
Portland Police Bureau MIP,Multnomah,5/6/2021,Other - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,5/13/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,5/22/2021,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,6/1/2021,One Man Vehicle - Alone,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,6/25/2021,One Man Vehicle - Alone,Responding to Disturbance,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,8/30/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,10/18/2021,Two Man Vehicle,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,10/25/2021,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,12/1/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,2/10/2022,Other - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,2/27/2022,Two Man Vehicle,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,12/4/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,Asian,1
Portland Police Bureau MIP,Multnomah,8/12/2021,Other - Assisted,Robberies in Progress/Pursuing Robbery Suspects,Simple Assault,Simple Assault,35-39,Female,Black or African American,1
Portland Police Bureau MIP,Multnomah,1/8/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,Hispanic or Latino,1
Portland Police Bureau MIP,Multnomah,2/14/2021,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,Hispanic or Latino,1
Portland Police Bureau MIP,Multnomah,6/22/2020,Other - Assisted,All Other,Simple Assault,Simple Assault,35-39,Male,Unknown,1
Portland Police Bureau MIP,Multnomah,6/26/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,35-39,Male,Unknown,1
Portland Police Bureau MIP,Multnomah,7/26/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,35-39,Male,Unknown,1
Portland Police Bureau MIP,Multnomah,8/5/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,35-39,Male,Unknown,1
Portland Police Bureau MIP,Multnomah,1/17/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Female,White,1
Portland Police Bureau MIP,Multnomah,1/17/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,1/31/2020,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Female,White,1
Portland Police Bureau MIP,Multnomah,2/29/2020,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,5/31/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,6/12/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,6/30/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,7/4/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,8/6/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,10/3/2020,Other - Assisted,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,10/25/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,11/18/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,12/8/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,1/4/2021,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,1/6/2021,Two Man Vehicle,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,6/5/2021,One Man Vehicle - Assisted,Robberies in Progress/Pursuing Robbery Suspects,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,6/13/2021,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,7/19/2021,Two Man Vehicle,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,35-39,Female,White,1
Portland Police Bureau MIP,Multnomah,8/1/2021,Two Man Vehicle,All Other,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,8/12/2021,Other - Assisted,Robberies in Progress/Pursuing Robbery Suspects,Simple Assault,Simple Assault,35-39,Female,White,1
Portland Police Bureau MIP,Multnomah,8/20/2021,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,8/28/2021,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,9/24/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,10/18/2021,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,11/23/2021,Two Man Vehicle,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,11/29/2021,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Portland Police Bureau MIP,Multnomah,2/8/2022,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,35-39,Male,White,1
Redmond PD,DESCHUTES,1/21/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Redmond PD,DESCHUTES,7/8/2020,Other - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Redmond PD,DESCHUTES,11/5/2020,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Redmond PD,DESCHUTES,7/1/2021,Other - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Female,White,1
Redmond PD,DESCHUTES,7/11/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Redmond PD,DESCHUTES,7/12/2021,One Man Vehicle - Assisted,Responding to Domestic Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,11/26/2020,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,Unknown,1
Salem PD MIP,MARION,11/26/2020,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,Unknown,1
Salem PD MIP,MARION,8/1/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Salem PD MIP,MARION,8/24/2020,One Man Vehicle - Alone,Traffic Pursuit and Stops,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Salem PD MIP,MARION,7/19/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Salem PD MIP,MARION,10/14/2021,One Man Vehicle - Assisted,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Salem PD MIP,MARION,10/28/2021,One Man Vehicle - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Salem PD MIP,MARION,3/25/2022,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Salem PD MIP,MARION,3/21/2021,One Man Vehicle - Alone,Attempting Other Arrests,Intimidation,Intimidation,35-39,Male,Unknown,1
Salem PD MIP,MARION,12/30/2020,One Man Vehicle - Assisted,Responding to Disturbance,Intimidation,Intimidation,35-39,Male,White,1
Salem PD MIP,MARION,1/17/2021,One Man Vehicle - Assisted,Responding to Disturbance,Intimidation,Intimidation,35-39,Male,White,1
Salem PD MIP,MARION,2/23/2021,One Man Vehicle - Assisted,Mentally Deranged,Intimidation,Intimidation,35-39,Male,White,1
Salem PD MIP,MARION,7/8/2021,One Man Vehicle - Alone,Attempting Other Arrests,Intimidation,Intimidation,35-39,Male,White,1
Salem PD MIP,MARION,12/7/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Intimidation,Intimidation,35-39,Male,White,1
Salem PD MIP,MARION,2/3/2022,One Man Vehicle - Assisted,Responding to Disturbance,Intimidation,Intimidation,35-39,Male,White,1
Salem PD MIP,MARION,11/26/2020,Two Man Vehicle,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,Unknown,1
Salem PD MIP,MARION,9/9/2021,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,Unknown,1
Salem PD MIP,MARION,10/30/2021,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,Unknown,1
Salem PD MIP,MARION,2/9/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,9/23/2020,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Female,White,1
Salem PD MIP,MARION,12/3/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,12/5/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,12/14/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,12/16/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,1/8/2021,Two Man Vehicle,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Female,White,1
Salem PD MIP,MARION,1/10/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,3/25/2021,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,4/22/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,9/17/2021,One Man Vehicle - Assisted,All Other,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,10/18/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Salem PD MIP,MARION,1/9/2022,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Seaside PD,Clatsop,6/26/2021,One Man Vehicle - Alone,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Springfield PD,Lane,2/27/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Sweet Home PD,LINN,12/1/2021,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Sweet Home PD,LINN,12/1/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Sweet Home PD,LINN,3/25/2021,One Man Vehicle - Alone,Traffic Pursuit and Stops,Simple Assault,Simple Assault,35-39,Male,White,1
Tigard PD,Washington,2/23/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Tigard PD,Washington,9/14/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,White,1
Tigard PD,Washington,12/11/2020,Other - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Tualatin PD,Washington,6/12/2021,Two Man Vehicle,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,35-39,Male,Hispanic or Latino,1
Warrenton PD,Clatsop,3/27/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,11/22/2021,One Man Vehicle - Assisted,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,Black or African American,1
Washington SO,Washington,12/4/2021,Other - Assisted,Ambush/No Warning,Aggravated Assault,Aggravated Assault,35-39,Male,Black or African American,1
Washington SO,Washington,2/13/2020,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,5/13/2020,One Man Vehicle - Assisted,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,7/1/2020,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,8/6/2020,One Man Vehicle - Assisted,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,8/31/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,9/10/2020,One Man Vehicle - Assisted,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,9/27/2020,Other - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,9/29/2020,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,10/3/2020,One Man Vehicle - Assisted,Mentally Deranged,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,10/22/2020,Other - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,1/27/2021,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,1/30/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,2/5/2021,Other - Assisted,All Other,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,2/18/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,5/6/2021,One Man Vehicle - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,6/18/2021,One Man Vehicle - Assisted,Responding to Disturbance,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,8/26/2021,One Man Vehicle - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,9/24/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,35-39,Female,White,1
Washington SO,Washington,11/18/2021,Other - Assisted,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,35-39,Male,White,1
Washington SO,Washington,3/24/2020,Other - Assisted,Attempting Other Arrests,Simple Assault,Simple Assault,35-39,Male,White,1
Washington SO,Washington,4/14/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Washington SO,Washington,6/7/2020,One Man Vehicle - Assisted,Mentally Deranged,Simple Assault,Simple Assault,35-39,Female,White,1
Washington SO,Washington,8/18/2020,Other - Alone,"Civil Disorder (Riot, Mass Disobedience)",Simple Assault,Simple Assault,35-39,Male,White,1
Washington SO,Washington,8/30/2020,One Man Vehicle - Assisted,Traffic Pursuit and Stops,Simple Assault,Simple Assault,35-39,Male,White,1
Washington SO,Washington,10/1/2020,Two Man Vehicle,Responding to Disturbance,Simple Assault,Simple Assault,35-39,Male,White,1
Washington SO,Washington,3/1/2021,Other - Alone,Ambush/No Warning,Simple Assault,Simple Assault,35-39,Male,White,1
Washington SO,Washington,7/5/2021,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,White,1
Yamhill SO,Yamhill,11/20/2021,Other - Alone,"Handling, Transporting, Custody of Prisoners",Simple Assault,Simple Assault,35-39,Male,White,1
Albany PD,Linn,2/6/2020,One Man Vehicle - Alone,Attempting Other Arrests,Simple Assault,Simple Assault,40-44,Male,White,1
Astoria PD,Clatsop,9/1/2020,Other - Assisted,"Handling, Transporting, Custody of Prisoners",Aggravated Assault,Aggravated Assault,40-44,Male,Unknown,1
Astoria PD,Clatsop,4/5/2020,One Man Vehicle - Assisted,Responding to Disturbance,Simple Assault,Simple Assault,40-44,Male,Unknown,1
Astoria PD,Clatsop,4/25/2020,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Simple Assault,Simple Assault,40-44,Male,White,1
Astoria PD,Clatsop,6/15/2020,One Man Vehicle - Assisted,Mentally Deranged,Simple Assault,Simple Assault,40-44,Male,White,1
Astoria PD,Clatsop,3/21/2021,One Man Vehicle - Alone,Mentally Deranged,Simple Assault,Simple Assault,40-44,Male,White,1
Beaverton PD MIP,Washington,10/7/2020,One Man Vehicle - Alone,Responding to Disturbance,Aggravated Assault,Aggravated Assault,40-44,Male,White,1
Beaverton PD MIP,Washington,11/24/2020,One Man Vehicle - Alone,Attempting Other Arrests,Aggravated Assault,Aggravated Assault,40-44,Male,White,1
Beaverton PD MIP,Washington,9/30/2021,One Man Vehicle - Alone,Investigating Suspicious Persons orCircumstances,Aggravated Assault,Aggravated Assault,40-44,Male,White,1
Beaverton PD MIP,Washington,5/5/2021,One Man Vehicle - Assisted,Mentally Deranged,Simple Assault,Simple Assault,40-44,Female,White,1
